,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_in_millions,months_since_released,mthly_streams
650,Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690,130,D,Minor,51,50,76,30,0,10,7,246.37669,22,11.19894
651,Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364,180,G,Minor,35,23,61,23,0,19,6,496.31136,22,22.55961
652,The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,146789379,134,0,Major,53,31,31,92,0,28,3,146.78938,22,6.67224
653,The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,843309044,95,D#,Minor,92,31,89,3,0,8,25,843.30904,304,2.77404
654,Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342,184,F#,Major,69,91,63,11,0,9,31,500.34034,23,21.75393
655,City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472,147,G#,Minor,47,50,80,10,0,32,38,107.25547,22,4.87525
656,Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152,123,G,Major,52,44,60,40,0,26,3,135.07915,23,5.87301
657,Lost,Frank Ocean,1,2012,1,1,29499,11,822239726,123,A#,Minor,91,49,61,3,0,17,22,822.23973,146,5.63178
658,In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675,90,F#,Minor,90,79,71,26,0,7,37,1202.72268,267,4.50458
659,she's all i wanna be,Tate McRae,1,2022,2,4,2711,0,343197054,160,D,Minor,61,65,64,1,0,12,4,343.19705,23,14.92161
660,Ginseng Strip 2002,Yung Lean,1,2013,8,16,4310,0,240769997,115,C#,Major,60,37,71,8,0,48,4,240.77,126,1.91087
661,All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,5342,0,426204830,141,D#,Major,37,17,67,2,0,34,9,426.20483,53,8.0416
662,Notion,The Rare Occasions,1,2016,8,5,2393,0,421135627,160,A,Major,31,30,88,7,0,8,8,421.13563,90,4.67928
663,Formula,Labrinth,1,2019,10,4,3444,7,554875730,145,B,Major,57,23,66,4,6,15,4,554.87573,51,10.87992
664,Mount Everest,Labrinth,1,2019,6,21,5443,0,467727006,89,0,Minor,46,43,43,23,8,8,22,467.72701,55,8.50413
665,Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031,95,F,Minor,84,49,72,8,0,15,8,327.49803,41,7.98776
666,Cigarettes,Juice WRLD,1,2021,12,10,975,0,185408548,160,D,Major,60,47,62,3,0,38,4,185.40855,25,7.41634
